"facility_name","course_name","city","state","api_id","matched_name","par","course_rating","slope_rating","status"
"BEAR HILL GOLF CLUB","BEAR HILL GOLF CLUB","STONEHAM","MA","","","","","","no_match"
"BEDFORDSHIRE GOLF CLUB","BEDFORDSHIRE GOLF CLUB","BEDFORD","MA","","","","","","no_match"
"BEDROCK GOLF CLUB","BEDROCK GOLF CLUB","RUTLAND","MA","","","","","","no_match"
"BELLEVUE GOLF CLUB","BELLEVUE GOLF CLUB","MELROSE","MA","","","","","","no_match"
"BELMONT COUNTRY CLUB","BELMONT COUNTRY CLUB","BELMONT","MA","","","","","","no_match"
"BERKSHIRE HILLS COUNTRY CLUB","BERKSHIRE HILLS COUNTRY CLUB","PITTSFIELD","MA","","","","","","no_match"
"Berlin Country Club","Berlin Country Club","Berlin","MA","","","","","","no_match"
"BEVERLY GOLF & TENNIS CLUB","BEVERLY GOLF & TENNIS CLUB","BEVERLY","MA","","","","","","no_match"
"BLACK ROCK COUNTRY CLUB","BLACK ROCK COUNTRY CLUB","HINGHAM","MA","","","","","","no_match"
"BLACK SWAN COUNTRY CLUB","BLACK SWAN COUNTRY CLUB","GEORGETOWN","MA","","","","","","no_match"